STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001499999,2008-01-01,59.791925,5.34085,48.76,"SORSTOKKEN, NO",32.9,10,19.4,10,9999.9,0,999.9,0,6.2,10,6.4,10,8.0,999.9,33.8,*,32.0,*,0.0,I,999.9,0
1001499999,2008-01-02,59.791925,5.34085,48.76,"SORSTOKKEN, NO",37.2,15,22.5,15,9999.9,0,999.9,0,6.7,15,10.3,15,15.9,999.9,39.2,*,35.6,*,0.0,I,999.9,0
1001499999,2008-01-03,59.791925,5.34085,48.76,"SORSTOKKEN, NO",32.5,14,13.4,14,9999.9,0,999.9,0,6.8,14,7.4,14,13.0,999.9,35.6,*,30.2,*,0.0,I,999.9,0
1001499999,2008-01-04,59.791925,5.34085,48.76,"SORSTOKKEN, NO",36.9,14,16.4,14,9999.9,0,999.9,0,6.9,14,24.4,14,29.9,42.0,37.4,*,35.6,*,0.0,I,999.9,0
1001499999,2008-01-06,59.791925,5.34085,48.76,"SORSTOKKEN, NO",39.0,8,33.4,8,9999.9,0,999.9,0,7.0,8,13.6,8,16.9,999.9,42.8,*,37.4,*,99.99, ,999.9,11000
1001499999,2008-01-07,59.791925,5.34085,48.76,"SORSTOKKEN, NO",40.3,16,31.6,16,9999.9,0,999.9,0,7.0,16,8.7,16,12.0,999.9,42.8,*,39.2,*,0.0,I,999.9,0
1001499999,2008-01-08,59.791925,5.34085,48.76,"SORSTOKKEN, NO",36.8,16,34.0,16,9999.9,0,999.9,0,7.0,16,8.9,16,12.0,999.9,37.4,*,35.6,*,99.99, ,999.9,11000
1001499999,2008-01-09,59.791925,5.34085,48.76,"SORSTOKKEN, NO",39.5,16,35.9,16,9999.9,0,999.9,0,6.4,15,23.5,16,999.9,999.9,41.0,*,33.8,*,99.99, ,999.9,11000
1001499999,2008-01-10,59.791925,5.34085,48.76,"SORSTOKKEN, NO",41.4,15,35.2,15,9999.9,0,999.9,0,7.0,15,13.5,15,22.9,37.9,42.8,*,37.4,*,99.99, ,999.9,10000
1001499999,2008-01-11,59.791925,5.34085,48.76,"SORSTOKKEN, NO",40.9,14,38.0,14,9999.9,0,999.9,0,7.0,14,8.4,14,12.0,999.9,42.8,*,39.2,*,99.99, ,999.9,10000
1001499999,2008-01-13,59.791925,5.34085,48.76,"SORSTOKKEN, NO",41.7,8,38.8,8,9999.9,0,999.9,0,6.1,8,16.2,8,20.0,29.9,46.4,*,37.4,*,99.99, ,999.9,10000
1001499999,2008-01-14,59.791925,5.34085,48.76,"SORSTOKKEN, NO",42.2,16,34.0,16,9999.9,0,999.9,0,7.0,16,15.2,16,20.0,32.1,46.4,*,37.4,*,99.99, ,999.9,10000
1001499999,2008-01-15,59.791925,5.34085,48.76,"SORSTOKKEN, NO",42.2,14,38.6,14,9999.9,0,999.9,0,7.0,14,11.3,14,20.0,34.0,44.6,*,41.0,*,99.99, ,999.9,10000
1001499999,2008-01-16,59.791925,5.34085,48.76,"SORSTOKKEN, NO",38.2,16,35.8,16,9999.9,0,999.9,0,6.9,16,4.2,16,9.9,999.9,41.0,*,37.4,*,99.99, ,999.9,10000
1001499999,2008-01-17,59.791925,5.34085,48.76,"SORSTOKKEN, NO",36.2,14,33.4,14,9999.9,0,999.9,0,7.0,14,7.5,14,15.0,999.9,37.4,*,35.6,*,99.99, ,999.9,11000
1001499999,2008-01-18,59.791925,5.34085,48.76,"SORSTOKKEN, NO",41.4,13,34.2,13,9999.9,0,999.9,0,6.7,13,13.7,13,20.0,33.0,42.8,*,41.0,*,99.99, ,999.9,10000
1001499999,2008-01-20,59.791925,5.34085,48.76,"SORSTOKKEN, NO",40.2,7,37.9,7,9999.9,0,999.9,0,7.0,7,12.2,7,18.1,25.1,42.8,*,37.4,*,99.99, ,999.9,11000
1001499999,2008-01-21,59.791925,5.34085,48.76,"SORSTOKKEN, NO",35.8,15,32.0,15,9999.9,0,999.9,0,7.0,15,11.9,15,20.0,28.9,37.4,*,33.8,*,99.99, ,999.9,11000
1001499999,2008-01-22,59.791925,5.34085,48.76,"SORSTOKKEN, NO",34.2,15,31.6,15,9999.9,0,999.9,0,7.0,15,6.1,15,12.0,999.9,35.6,*,32.0,*,99.99, ,999.9,11000
